EmployeeID,Age,Gender,Department,JobRole,JobLevel,MonthlyIncome,BusinessTravel,DistanceFromHome,EducationField,MaritalStatus,OverTime,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,TotalWorkingYears,YearsAtCompany,JoinDate,ResignationDate,ObservationDate,Attrition
PILOT-0001,58,Male,Research & Development,Healthcare Representative,3,111166,Travel_Rarely,15,Technical Degree,Married,No,2,4,3,6,6,2022-03-17,,2023-01-04,No
PILOT-0002,43,Female,Sales,Sales Executive,4,125237,Travel_Rarely,25,Marketing,Single,No,4,1,3,13,6,2013-08-06,,2023-02-14,No
PILOT-0003,22,Female,Sales,Sales Executive,2,51675,Non-Travel,6,Human Resources,Single,Yes,4,3,4,2,0,2021-03-06,,2023-03-06,No
PILOT-0004,30,Female,Research & Development,Manager,1,36788,Travel_Rarely,3,Marketing,Divorced,No,3,4,4,7,1,2018-08-25,,2023-04-08,No
PILOT-0005,22,Female,Research & Development,Laboratory Technician,2,72430,Travel_Frequently,17,Marketing,Divorced,Yes,1,1,3,4,3,2019-02-17,,2023-05-04,No
PILOT-0006,54,Male,Human Resources,Manager,1,50875,Travel_Rarely,16,Technical Degree,Married,No,2,1,3,22,6,2019-07-16,,2023-06-28,No
PILOT-0007,45,Male,Research & Development,Manager,4,101066,Travel_Rarely,3,Medical,Single,No,4,3,2,1,1,2019-12-02,,2023-01-24,No
PILOT-0008,45,Male,Sales,Sales Representative,1,53477,Travel_Rarely,11,Marketing,Married,No,1,1,3,15,7,2015-03-02,,2023-02-05,No
PILOT-0009,51,Male,Research & Development,Laboratory Technician,2,85407,Travel_Rarely,14,Life Sciences,Divorced,No,4,1,4,14,7,2013-09-22,,2023-03-06,No
PILOT-0010,24,Male,Human Resources,Manager,2,60651,Travel_Rarely,29,Human Resources,Single,Yes,2,3,4,2,2,2018-11-12,,2023-04-17,No
PILOT-0011,51,Male,Sales,Sales Executive,2,85897,Travel_Rarely,8,Life Sciences,Single,Yes,1,2,4,20,7,2017-10-04,,2023-05-28,No
PILOT-0012,25,Female,Sales,Sales Executive,2,73967,Travel_Rarely,26,Human Resources,Single,No,2,2,2,1,1,2022-11-27,,2023-06-22,No
PILOT-0013,40,Female,Sales,Sales Executive,1,37028,Travel_Rarely,4,Life Sciences,Married,No,1,1,3,8,0,2020-05-26,,2023-01-02,No
PILOT-0014,58,Male,Research & Development,Laboratory Technician,2,91369,Travel_Rarely,8,Medical,Married,No,3,2,2,15,15,2019-02-08,,2023-02-10,No
